Wind,Power
1.096875,0
1.735069444,0.354645833
4.610486111,2.378791667
4.668333333,1.859270833
4.695902778,2.842979167
4.699375,2.8730625
4.736180556,3.382604167
4.751805556,2.613458333
4.810694444,4.583041667
4.812777778,3.617708333
4.818958333,2.949833333
4.850486111,3.215791667
1.760138889,0.122479167
4.868333333,3.224895833
4.882222222,2.300958333
4.938958333,3.798041667
5.008680556,2.173583333
5.121944444,2.42625
5.131388889,5.192541667
5.140138889,5.185833333
5.176666667,3.5228125
5.221180556,5.007041667
5.258888889,3.165229167
1.781319444,0.0431875
5.284236111,2.4614375
5.330277778,4.347583333
5.348263889,3.258041667
5.354166667,4.451145833
5.397847222,3.229375
5.427291667,4.8259375
5.457083333,4.0675
5.466736111,3.454895833
5.472708333,3.438270833
5.4925,3.454604167
1.810902778,0.279791667
5.51,6.239041667
5.517638889,3.0796875
5.55375,4.4435625
5.632083333,5.719208333
5.692986111,5.0769375
5.719305556,6.203895833
5.735277778,4.3385625
5.762083333,3.140729167
5.78625,3.129145833
5.933541667,4.413333333
1.811666667,0.015479167
5.971944444,5.329645833
6.049305556,5.391645833
6.074444444,8.889916667
6.113402778,5.886416667
6.122222222,4.895979167
6.13625,7.9389375
6.175972222,4.380854167
6.223055556,5.458958333
6.297291667,6.04625
6.356805556,5.995979167
1.827152778,0.051541667
6.364305556,6.38575
6.381111111,4.227875
6.384027778,4.465145833
6.408194444,7.569270833
6.473680556,6.0075
6.475277778,9.040395833
6.479513889,7.378583333
6.482083333,6.759125
6.506180556,5.5665
6.562013889,4.890645833
1.839930556,0
6.60375,10.055375
6.604583333,8.010479167
6.619166667,6.5358125
6.620069444,9.173770833
6.62375,6.9926875
6.637013889,7.109166667
6.667361111,7.635958333
6.687569444,7.063833333
6.688611111,7.01675
6.710972222,9.01575
1.877430556,0.094416667
6.730625,6.851916667
6.766944444,8.546229167
6.783402778,6.895125
6.793819444,9.4365625
6.826527778,6.103541667
6.887222222,6.879104167
6.950555556,8.6853125
6.976527778,8.5985625
6.986944444,7.078520833
6.999791667,6.581291667
1.890277778,0.006625
7.021041667,7.1881875
7.039652778,6.146354167
7.047013889,5.943333333
7.065625,7.109854167
7.083125,10.58289583
7.147013889,9.888145833
7.171805556,8.0631875
7.219444444,8.1181875
7.271041667,8.755354167
7.308541667,9.0253125
1.928958333,0.121416667
7.335902778,8.8085625
7.375694444,9.586104167
7.460486111,10.23289583
7.471319444,11.4929375
7.552222222,9.394604167
7.565416667,10.39083333
7.571805556,12.55352083
7.58125,9.253291667
7.709444444,11.0836875
7.774166667,11.3455
1.231527778,0
2.0025,0.252208333
7.806111111,11.15616667
7.823402778,10.1786875
7.825347222,10.775
7.837916667,8.980645833
7.852847222,9.138645833
7.925763889,9.275208333
7.947847222,10.34566667
7.95,11.69404167
7.9975,10.48095833
8.082430556,10.31408333
2.009513889,0.160041667
8.106875,9.572666667
8.140972222,12.96241667
8.148541667,12.500375
8.152152778,9.479
8.214027778,11.2550625
8.214583333,12.34885417
8.227152778,10.90625
8.232708333,10.0065625
8.283680556,9.8943125
8.303958333,9.833416667
2.048958333,0.110333333
8.308125,11.5561875
8.330416667,13.15097917
8.331388889,12.5738125
8.354375,13.50327083
8.439722222,11.43447917
8.442847222,11.84952083
8.443194444,11.995875
8.458125,11.57272917
8.473888889,13.97875
8.474652778,13.81379167
2.059861111,0.164229167
8.563611111,12.5773125
8.583472222,12.88689583
8.607222222,12.32645833
8.690694444,14.18722917
8.703611111,12.26941667
8.723194444,14.30822917
8.768541667,12.64872917
8.7875,12.85414583
8.838611111,12.82489583
8.873611111,12.333875
2.068680556,0.1435
8.909930556,13.01747917
8.938055556,12.92427083
8.946458333,14.98839583
8.954722222,12.98766667
8.990208333,12.19139583
9.036666667,14.97658333
9.065555556,13.79714583
9.144930556,16.086625
9.172361111,15.47633333
9.204097222,13.27504167
2.075763889,0.06
9.23375,14.0113125
9.234513889,14.77333333
9.255694444,14.60079167
9.256666667,13.68725
9.266319444,15.44377083
9.269930556,13.15172917
9.287222222,15.02189583
9.292569444,13.99875
9.328888889,13.77633333
9.362708333,14.59466667
2.080625,0.003229167
9.402986111,14.14110417
9.404375,14.77960417
9.419861111,14.83027083
9.439722222,15.73560417
9.455555556,14.5160625
9.478125,14.148875
9.507013889,15.7435625
9.515416667,15.62579167
9.55125,14.217125
9.653680556,16.25870833
2.110763889,0.0485
9.658958333,16.27333333
9.695138889,15.50489583
9.728611111,15.493
9.791111111,15.59383333
9.824166667,15.89010417
9.827916667,16.9850625
9.878402778,15.28064583
9.878472222,16.0180625
9.939027778,17.02341667
9.989861111,16.90716667
2.126736111,0.318479167
10.06513889,16.526125
10.07284722,16.88391667
10.095,17.04339583
10.24520833,17.33995833
10.26097222,17.87427083
10.38770833,17.19852083
10.46229167,18.16735417
10.46659722,18.54439583
10.49076389,19.24847917
10.503125,18.131875
2.177222222,0.2255625
10.51875,16.42695833
10.52826389,19.28114583
10.54576389,18.88529167
10.58152778,18.62575
10.62576389,18.7215
10.70493056,18.50847917
10.70881944,17.897625
10.70979167,19.393
10.72020833,19.8158125
10.74173611,18.701125
1.275138889,0.005479167
2.217986111,0.697895833
10.74444444,18.47552083
10.76923611,19.042125
10.88395833,19.1835
10.89229167,17.74397917
10.91013889,18.19927083
10.93097222,19.96422917
10.97638889,19.33766667
10.98902778,20.2895625
11.063125,19.57289583
11.07326389,18.4113125
2.234097222,0.709354167
11.21638889,20.74554167
11.23631944,20.40439583
11.2475,20.694125
11.27972222,19.62504167
11.29930556,20.22475
11.30347222,17.44035417
11.31861111,20.05866667
11.355625,20.67260417
11.43395833,21.36477083
11.44076389,18.0785
2.313958333,0.012354167
11.49583333,19.49235417
11.53111111,20.09041667
11.55291667,21.97025
11.57583333,19.80679167
11.57868056,22.16314583
11.57923611,19.75364583
11.61055556,18.26564583
11.70763889,21.577375
11.8225,21.97547917
11.90493056,22.82870833
2.321111111,0.176854167
12.12625,23.10260417
12.14319444,20.85595833
12.30423611,23.25797917
12.31951389,23.8341875
12.41243056,23.71645833
12.43236111,21.64608333
12.43715278,24.0004375
12.47173611,23.48372917
12.47979167,24.90864583
12.48020833,24.23554167
2.352777778,0.221083333
12.68569444,23.70204167
12.75222222,15.50539583
12.81576389,25.5706875
13.04909722,23.3161875
13.1775,23.53583333
13.23861111,25.7523125
13.29319444,27.0041875
13.763125,26.5828125
13.77722222,27.0890625
13.88993056,27.69941667
2.354583333,0.140083333
14.03291667,26.40464583
14.155625,26.67614583
14.22340278,28.75483333
14.29402778,23.60325
14.29951389,26.00772917
14.37319444,25.22575
14.436875,28.84470833
14.63875,28.01879167
14.78368056,27.35460417
14.93430556,22.23283333
2.530138889,0.1686875
15.16819444,26.15347917
15.24763889,27.5020625
15.26784722,28.5775
16.34694444,29.00997917
16.57583333,22.85222917
18.31638889,29.0209375
2.543402778,0.319125
2.567708333,0.260666667
2.608958333,0.430583333
1.365486111,0.010104167
2.623611111,0.389583333
2.660486111,0.229770833
2.683333333,0.192541667
2.734583333,0.156625
2.740486111,0.333166667
2.789027778,0.287416667
2.828194444,0.4788125
2.923958333,0.472145833
2.997361111,0.295604167
3.059583333,0.489291667
1.387777778,0.0108125
3.0675,0.518604167
3.083402778,0.879666667
3.088680556,0.406166667
3.120347222,0.462979167
3.130694444,0.828041667
3.171944444,0.3168125
3.210763889,0.5851875
3.230138889,1.303041667
3.253888889,0.4905625
3.280555556,0.448104167
1.550138889,0.000145833
3.299513889,0.863770833
3.308611111,0.786708333
3.349583333,1.2425625
3.36125,0.947354167
3.38625,0.648583333
3.453611111,1.020479167
3.474097222,0.9190625
3.474791667,1.445083333
3.482708333,1.114166667
3.545138889,1.320958333
1.563611111,0
3.603680556,2.6239375
3.613888889,1.475520833
3.643541667,1.373291667
3.652916667,1.01575
3.657291667,0.912875
3.667430556,0.712666667
3.669236111,1.0626875
3.696458333,1.328791667
3.697083333,1.718979167
3.718472222,1.091875
1.60625,0
3.836944444,1.002645833
3.838958333,1.352541667
3.850833333,1.3155
3.8525,0.675291667
3.863611111,1.577979167
3.873611111,4.181291667
3.916319444,1.2563125
3.987986111,1.4145625
4.019791667,1.405
4.078680556,1.2713125
1.680138889,0.052520833
4.217847222,3.181833333
4.229375,1.3531875
4.235347222,2.470666667
4.292430556,2.853791667
4.324166667,3.857166667
4.394097222,1.638833333
4.419930556,1.960583333
4.458194444,1.657208333
4.4825,1.766604167
4.545763889,2.4241875
