,TV,radio,newspaper,sales,yhat,err sq,,,,,,,,
1,230.1,37.8,69.2,22.1,20.49507187,2.575794312,,,alpha,3.017684696,,,alpha,0
2,44.5,39.3,45.1,10.4,12.27725794,3.524097383,,,beta1,0.045762427,,,beta1,0
3,17.2,45.9,69.3,9.3,12.24099097,8.649427892,,,beta2,0.183795044,,,beta2,0
4,151.5,41.3,58.5,18.5,17.54142774,0.918860772,,,beta3,0,,,Beta3,0
5,180.8,10.8,58.4,12.9,13.27651801,0.141765814,,,,,,,,
6,8.7,48.9,75,7.2,12.40339547,27.07532444,,,L,1000,,,L,1000
7,57.5,32.8,23.5,11.8,11.67750171,0.015005831,,,P,35.87481801,,,P,0
8,120.2,19.6,11.6,13.2,12.12071131,1.164864071,,,,,,,,
9,8.6,2.1,1,4.8,3.797211162,1.005585453,,,,,,,,
10,199.8,2.6,21.2,10.6,12.63888477,4.157051096,,,,Sum Error,593.5614738,,,557.6866558
11,66.1,5.8,24.2,8.6,7.108592391,2.224296658,,,,,,,,
12,214.7,24,4,17.4,17.25395888,0.021328009,,,,,,,,
13,23.8,35.1,65.9,9.2,10.55803651,1.844263172,,,,,,,,
14,97.5,7.6,7.2,9.7,8.876363685,0.67837678,,,,,,,,
15,204.1,32.9,46,19,18.40465304,0.354437999,,,,,,,,
16,195.4,47.7,52.9,22.4,20.72668658,2.799977801,,,,,,,,
17,67.8,36.6,114,12.5,12.84727588,0.120600535,,,,,,,,
18,281.4,39.6,55.8,24.4,23.17351546,1.50426432,,,,,,,,
19,69.2,20.5,18.3,11.3,9.952243064,1.816448758,,,,,,,,
20,147.3,23.9,19.1,14.6,14.15119178,0.201428819,,,,,,,,
21,218.4,27.7,53.4,18,18.10332152,0.010675337,,,,,,,,
22,237.4,5.1,23.5,12.5,14.81903964,5.377944858,,,,,,,,
23,13.2,15.9,49.6,5.6,6.544089937,0.891305809,,,,,,,,
24,228.3,16.9,26.2,15.5,16.57138307,1.147861693,,,,,,,,
25,62.3,12.6,18.3,9.7,8.184501468,2.296735802,,,,,,,,
26,262.9,3.5,19.5,12,15.69190946,13.63019549,,,,,,,,
27,142.9,29.3,12.6,15,14.94233034,0.00332579,,,,,,,,
28,240.1,16.7,22.9,15.9,17.07462071,1.379733806,,,,,,,,
29,248.8,27.1,22.9,18.9,19.38422228,0.23447122,,,,,,,,
30,70.6,16,40.8,10.5,9.189232764,1.718110748,,,,,,,,
31,292.9,28.3,43.2,21.4,21.62289938,0.049684132,,,,,,,,
32,112.9,17.4,38.6,11.9,11.3822965,0.268016917,,,,,,,,
33,97.2,1.5,30,9.6,7.741485187,3.45407731,,,,,,,,
34,265.6,20,0.3,17.4,18.84808625,2.096953778,,,,,,,,
35,95.7,1.4,7.4,9.5,7.654462042,3.406010356,,,,,,,,
36,290.7,4.1,8.5,12.8,17.07438197,18.2703412,,,,,,,,
37,266.9,43.8,5,25.4,23.28189945,4.486349925,,,,,,,,
38,74.7,49.4,45.7,14.7,15.51561319,0.665224877,,,,,,,,
39,43.1,26.7,35.1,10.1,9.897372988,0.041057706,,,,,,,,
40,228,37.7,32,21.5,20.38059127,1.253075915,,,,,,,,
41,202.5,22.3,31.6,16.6,16.38320569,0.046999772,,,,,,,,
42,177,33.4,38.7,17.1,17.25638879,0.024457453,,,,,,,,
43,293.6,27.7,1.8,20.7,21.54465605,0.713443841,,,,,,,,
44,206.9,8.4,26.4,12.9,14.02980926,1.276468957,,,,,,,,
45,25.1,25.7,43.3,8.5,8.889854254,0.151986339,,,,,,,,
46,175.1,22.5,31.5,14.9,15.16607419,0.070795477,,,,,,,,
47,89.7,9.9,35.7,10.6,8.942145354,2.748482028,,,,,,,,
48,239.9,41.5,18.5,23.2,21.62358532,2.485083252,,,,,,,,
49,227.2,15.8,49.9,14.8,16.31886986,2.306965641,,,,,,,,
50,66.9,11.7,36.8,9.7,8.229593093,2.162096472,,,,,,,,
51,199.8,3.1,34.6,11.4,12.73078229,1.770981503,,,,,,,,
52,100.4,9.6,3.6,10.7,9.376664812,1.75121602,,,,,,,,
53,216.4,41.7,39.6,22.6,20.58492729,4.060518041,,,,,,,,
54,182.6,46.2,58.7,21.2,19.86523495,1.781597751,,,,,,,,
55,262.7,28.8,15.9,20.2,20.3327716,0.017628297,,,,,,,,
56,198.9,49.4,60,23.7,21.19930665,6.253467229,,,,,,,,
57,7.3,28.1,41.4,5.5,8.516391155,9.098615603,,,,,,,,
58,136.2,19.2,16.6,13.2,12.77939213,0.17691098,,,,,,,,
59,210.8,49.6,37.7,23.8,21.78063854,4.077820694,,,,,,,,
60,210.7,29.5,9.3,18.4,18.08178191,0.101262751,,,,,,,,
61,53.5,2,21.4,8.1,5.83356464,5.136729242,,,,,,,,
62,261.3,42.7,54.7,24.2,22.82345531,1.894875276,,,,,,,,
63,239.3,15.5,27.3,15.7,16.81745671,1.248709504,,,,,,,,
64,102.7,29.6,8.4,14,13.15781928,0.709268369,,,,,,,,
65,131.1,42.8,28.9,18,16.88356679,1.246423104,,,,,,,,
66,69,9.3,0.9,9.3,7.884586084,2.003396553,,,,,,,,
67,31.5,24.6,2.2,9.5,8.980559239,0.269818704,,,,,,,,
68,139.3,14.5,10.2,13.4,12.05741895,1.802523884,,,,,,,,
69,237.4,27.5,11,18.9,18.93604863,0.001299504,,,,,,,,
70,216.8,43.9,27.2,22.3,21.00758135,1.670345955,,,,,,,,
71,199.1,30.6,38.7,18.3,17.75311231,0.29908615,,,,,,,,
72,109.8,14.3,31.7,12.4,10.67066834,2.990588007,,,,,,,,
73,26.8,33,19.3,8.8,10.3093542,2.278150109,,,,,,,,
74,129.4,5.7,31.3,11,9.986974529,1.026220605,,,,,,,,
75,213.4,24.6,13.1,17,17.30474475,0.092869362,,,,,,,,
76,16.9,43.7,89.4,8.7,11.82291315,9.752586516,,,,,,,,
77,27.5,1.6,20.7,6.9,4.570223515,5.427858472,,,,,,,,
78,120.5,28.5,14.2,14.2,13.77021593,0.184714344,,,,,,,,
79,5.4,29.9,9.4,5.3,8.760273623,11.97349355,,,,,,,,
80,116,7.7,23.1,11,9.741348092,1.584204624,,,,,,,,
81,76.4,26.7,22.3,11.8,11.42126181,0.143442613,,,,,,,,
82,239.8,4.1,36.9,12.3,14.74507442,5.978388931,,,,,,,,
83,75.3,20.3,32.5,11.3,10.19463486,1.22183209,,,,,,,,
84,68.4,44.5,35.6,13.6,14.32671418,0.528113503,,,,,,,,
85,213.5,43,33.8,21.7,20.69114981,1.017778716,,,,,,,,
86,193.2,18.4,65.7,15.2,15.24081445,0.001665819,,,,,,,,
87,76.3,27.5,16,12,11.56372161,0.190338836,,,,,,,,
88,110.7,40.6,63.2,16,15.54566418,0.206421036,,,,,,,,
89,88.3,25.5,73.4,12.9,11.74528064,1.333376789,,,,,,,,
90,109.8,47.8,51.4,16.7,16.82780232,0.016333432,,,,,,,,
91,134.3,4.9,9.3,11.2,10.06417439,1.290099824,,,,,,,,
92,28.6,1.5,33,7.3,4.60218268,7.278218292,,,,,,,,
93,217.7,33.5,59,19.4,19.13729908,0.069011774,,,,,,,,
94,250.9,36.5,72.3,22.2,21.2079968,0.984070357,,,,,,,,
95,107.4,14,10.9,11.5,10.5057,0.988632497,,,,,,,,
96,163.3,31.6,52.9,16.9,16.29861246,0.361666979,,,,,,,,
97,197.6,3.5,5.9,11.7,12.70362297,1.007259061,,,,,,,,
98,184.9,21,22,15.5,15.33885341,0.025968222,,,,,,,,
99,289.7,42.3,51.2,25.4,24.04959023,1.823606553,,,,,,,,
100,135.2,41.7,45.9,17.2,16.8690182,0.109548954,,,,,,,,
101,222.4,4.3,49.8,11.7,13.9855672,5.223817415,,,,,,,,
102,296.4,36.3,100.9,23.8,23.25342823,0.298740705,,,,,,,,
103,280.2,10.1,21.4,14.8,17.69664675,8.390562376,,,,,,,,
104,187.9,17.2,17.9,14.7,14.77771953,0.006040325,,,,,,,,
105,238.2,34.3,5.3,20.7,20.22246487,0.228039798,,,,,,,,
106,137.9,46.4,59,19.2,17.85641346,1.805224796,,,,,,,,
107,25,11,29.7,7.2,6.183490862,1.033290828,,,,,,,,
108,90.4,0.3,23.2,8.7,7.209746629,2.22085511,,,,,,,,
109,13.1,0.4,25.6,5.3,3.69069051,2.589877036,,,,,,,,
110,255.4,26.9,5.5,19.8,19.64949529,0.022651666,,,,,,,,
111,225.8,8.2,56.5,13.4,14.85796012,2.125647719,,,,,,,,
112,241.7,38,23.2,21.8,21.06267503,0.543648109,,,,,,,,
113,175.7,15.4,2.4,14.1,13.88858684,0.044695525,,,,,,,,
114,209.6,20.6,10.7,15.9,16.39566735,0.245686121,,,,,,,,
115,78.2,46.8,34.5,14.6,15.19791457,0.357501834,,,,,,,,
116,75.1,35,52.7,12.6,12.88726953,0.08252378,,,,,,,,
117,139.2,14.3,25.6,12.2,12.0160837,0.033825207,,,,,,,,
118,76.4,0.8,14.8,9.4,6.66097017,7.50228441,,,,,,,,
119,125.7,36.9,79.2,15.9,15.55205893,0.121062991,,,,,,,,
120,19.4,16,22.3,6.6,6.84619649,0.060612712,,,,,,,,
121,141.3,26.8,46.2,15.5,14.40962284,1.188922341,,,,,,,,
122,18.8,21.7,50.4,7,7.866370786,0.750598338,,,,,,,,
123,224,2.4,15.6,11.6,13.7095765,4.450312998,,,,,,,,
124,123.1,34.6,12.4,15.2,15.01034801,0.035967876,,,,,,,,
125,229.5,32.3,74.2,19.7,19.45674167,0.059174616,,,,,,,,
126,87.2,11.8,25.9,10.6,9.17694987,2.025071673,,,,,,,,
127,7.8,38.9,50.6,6.6,10.52425885,15.39980749,,,,,,,,
128,80.2,0,9.2,8.8,6.687831358,4.461256372,,,,,,,,
129,220.3,49,3.2,24.7,22.10510458,6.733482266,,,,,,,,
130,59.6,12,43.1,9.7,7.950665888,3.060169837,,,,,,,,
131,0.7,39.6,8.7,1.6,10.32800214,76.17802142,,,,,,,,
132,265.2,2.9,43,12.7,15.68688602,8.9214881,,,,,,,,
133,8.4,27.2,2.1,5.7,8.401314286,7.29709887,,,,,,,,
134,219.8,33.5,45.1,19.6,19.23340018,0.13439543,,,,,,,,
135,36.9,38.6,65.6,10.8,11.80080696,1.001614581,,,,,,,,
136,48.3,47,8.5,11.6,13.86637701,5.136464734,,,,,,,,
137,25.6,39,9.3,9.5,11.35720955,3.449227331,,,,,,,,
138,273.7,28.9,59.7,20.8,20.8545378,0.002974372,,,,,,,,
139,43,25.9,20.5,9.6,9.74576071,0.021246185,,,,,,,,
140,184.9,43.9,1.7,20.7,19.54775993,1.327657187,,,,,,,,
141,73.4,17,12.9,10.9,9.501162604,1.956746061,,,,,,,,
142,193.7,35.4,75.6,19.2,18.38821141,0.659000714,,,,,,,,
143,220.5,33.2,37.9,20.1,19.21029536,0.791574342,,,,,,,,
144,104.6,5.7,34.4,10.4,8.852066334,2.396098635,,,,,,,,
145,96.2,14.8,38.9,11.4,10.14019685,1.587103984,,,,,,,,
146,140.3,1.9,9,10.3,9.787363818,0.262795856,,,,,,,,
147,240.1,7.3,8.7,13.2,15.34694729,4.609382674,,,,,,,,
148,243.2,49,44.3,25.4,23.15306416,5.048720677,,,,,,,,
149,38,40.3,11.9,10.9,12.16359721,1.596677909,,,,,,,,
150,44.7,25.8,20.6,10.1,9.805177332,0.086920406,,,,,,,,
151,280.7,13.9,37,16.1,18.41794913,5.372888162,,,,,,,,
152,121,8.4,48.7,11.6,10.09881676,2.253551122,,,,,,,,
153,197.6,23.3,14.2,16.6,16.34276484,0.066169926,,,,,,,,
154,171.3,39.7,37.7,19,18.15345173,0.716643972,,,,,,,,
155,187.8,21.1,9.5,15.6,15.48994396,0.012112332,,,,,,,,
156,4.1,11.6,5.7,3.2,5.33733316,4.568193035,,,,,,,,
157,93.9,43.5,50.5,15.3,15.30986103,9.724E-05,,,,,,,,
158,149.8,1.3,24.3,10.1,10.11182985,0.000139945,,,,,,,,
159,11.7,36.9,45.2,7.3,10.33514222,9.212088319,,,,,,,,
160,131.7,18.4,34.6,12.9,12.42642517,0.224273117,,,,,,,,
161,172.5,18.1,30.7,14.4,14.23839369,0.0261166,,,,,,,,
162,85.7,35.8,49.3,13.3,13.51938729,0.048130783,,,,,,,,
163,188.4,18.1,25.6,14.9,14.96601628,0.004358149,,,,,,,,
164,163.5,36.8,7.4,18,17.26349917,0.542433472,,,,,,,,
165,117.2,14.7,5.4,11.9,11.08282831,0.667769564,,,,,,,,
166,234.5,3.4,84.8,11.9,14.37387703,6.120067546,,,,,,,,
167,17.9,37.6,21.6,8,10.7475258,7.548898041,,,,,,,,
168,206.8,5.2,19.4,12.2,13.43708887,1.53038888,,,,,,,,
169,215.4,23.6,57.6,17.1,17.21247456,0.012650527,,,,,,,,
170,284.3,10.6,6.4,15,17.97617022,8.857589182,,,,,,,,
171,50,11.6,18.4,8.4,7.437828569,0.925773863,,,,,,,,
172,164.5,20.9,47.4,14.5,14.3869204,0.012786997,,,,,,,,
173,19.6,20.1,17,7.6,7.608908657,7.93642E-05,,,,,,,,
174,168.4,7.1,12.8,11.7,12.02902225,0.108255642,,,,,,,,
175,222.4,3.4,13.1,11.5,13.82015166,5.383103716,,,,,,,,
176,276.9,48.9,41.8,27,24.67687845,5.396893731,,,,,,,,
177,248.4,30.2,20.3,20.2,19.93568195,0.069864032,,,,,,,,
178,170.2,7.8,35.2,11.7,12.24005115,0.291655247,,,,,,,,
179,276.7,2.3,23.7,11.8,16.10287691,18.51474968,,,,,,,,
180,165.6,10,17.6,12.6,12.43389308,0.027591508,,,,,,,,
181,156.6,2.6,8.3,10.5,10.66194791,0.026227126,,,,,,,,
182,218.5,5.4,27.4,12.2,14.00926828,3.27345171,,,,,,,,
183,56.2,5.7,29.7,8.7,6.637164857,4.255288828,,,,,,,,
184,287.6,43,71.8,26.2,24.08214566,4.485306999,,,,,,,,
185,253.8,21.3,30,17.6,18.54702316,0.896852872,,,,,,,,
186,205,45.1,19.6,22.6,20.68813877,3.655213376,,,,,,,,
187,139.5,2.1,26.6,10.3,9.787512885,0.262643043,,,,,,,,
188,191.1,28.7,18.2,17.3,17.0378023,0.068747632,,,,,,,,
189,286,13.9,3.7,15.9,18.66048999,7.620304999,,,,,,,,
190,18.7,12.1,23.4,6.7,6.097362119,0.363172416,,,,,,,,
191,39.5,41.1,5.8,10.8,12.37927689,2.494115483,,,,,,,,
192,75.5,10.8,6,9.9,8.457734427,2.080129982,,,,,,,,
193,17.2,4.1,31.6,5.9,4.558358125,1.800002922,,,,,,,,
194,166.8,42,3.6,19.6,18.37024941,1.512286514,,,,,,,,
195,149.7,35.6,6,17.3,16.41142362,0.78956798,,,,,,,,
196,38.2,3.7,13.8,7.6,5.445851079,4.640357576,,,,,,,,
197,94.2,4.9,8.1,9.7,8.229101055,2.163543705,,,,,,,,
198,177,9.3,6.4,12.8,12.82692822,0.000725129,,,,,,,,
199,283.6,42,66.2,25.5,23.71530091,3.185150847,,,,,,,,
200,232.1,8.6,8.7,13.4,15.21978143,3.311604459,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,557.6866558,,,,,,,,
